version=2007022703
BE95	BEECH AIRCRAFT COMPANY (USA)	95 Travel Air	2	P	S	1250	1250	II
BE99	BEECH AIRCRAFT COMPANY (USA)	99 Airliner	2	T	S	1750	1750	II
BE9L	BEECH AIRCRAFT COMPANY (USA)	90, A90 to E90 King Air (T-44 V-C6)	2	T	S	2000	2000	II
BE9T	BEECH AIRCRAFT COMPANY (USA)	F90 King Air	2	T	S	2600	2600	II
STAR	BEECH AIRCRAFT COMPANY (USA)	2000 Starship 	2	T	S+	2650	2650	III
PRM1	BEECH AIRCRAFT COMPANY (USA)	Premier 1, 390	2	J	S+	3000	3000	III
T34P	BEECH AIRCRAFT COMPANY (USA)	T34AB, E-17 Mentor (45)	1	P	S	1150	1150	I
T34T	BEECH AIRCRAFT COMPANY (USA)	T-34C Turbo Mentor	1	T	S	1100	1000	I
TEX2	BEECH AIRCRAFT COMPANY (USA)	T-6A Texan II	1	T	S	0	0	I
U21	BEECH AIRCRAFT COMPANY (USA)	U-21AG, EU-21, JU-21, RU-21, Ute(A90-1 to 4)	2	T	S	2000	2000	II
U22	BEECH AIRCRAFT COMPANY (USA)	QU-22 (10741079)	1	P	S	0	0	I
AR11	BELLANCA AIRCRAFT (USA)	Aeronca ChiefSuper Chief, Pushpak	1	P	S	500	500	I
AR15	BELLANCA AIRCRAFT (USA)	Aeronca Sedan	1	P	S	500	500	I
B14A	BELLANCA AIRCRAFT (USA)	14 Junior, Cruiseair, Cruiseair Senior Cruisemaster 	1	P	S	1030	1030	I
B14C	BELLANCA AIRCRAFT (USA)	14 Bellanca 260ABC	1	P	S	1500	0	I
BL17	BELLANCA AIRCRAFT (USA)	17 Viking, Super Viking,Turbo Viking	1	P	S	1100	1100	I
BL19	BELLANCA AIRCRAFT (USA)	19 Skyrocket	1	P	S	0	0	I
BL8	BELLANCA AIRCRAFT (USA)	8 Decathlon,  Scout 	1	P	S	1000	1000	I
CH40	BELLANCA AIRCRAFT (USA)	Champion Lancer 402	2	P	S	650	1000	II
CH7A	BELLANCA AIRCRAFT (USA)	7 ACAECA Champ, Citabria, 	1	P	S	750	750	I
CH7B	BELLANCA AIRCRAFT (USA)	7 GCBCKCAB  Citabria	1	P	S	1100	1100	I
T250	BELLANCA AIRCRAFT (USA)	T-250 Aries	1	P	S	0	0	I
B52	BOEING COMPANY (USA)	B-52 Stratofortress	8	J	H	3000	3000	III
B701 	BOEING COMPANY (USA)	707-100 (C-137B)	4	J	H	3500	3500	III
B703	BOEING COMPANY (USA)	707-300(C-18, C-137C, E-8J-Stars,EC-18, EC-137, KC-137, T-17)	4	J	H	3500	3500	III
B712	BOEING COMPANY (USA)	717-200	2	J	L	0	0	III
B720	BOEING COMPANY (USA)	720	4	J	L	3000	3000	III
B721	BOEING COMPANY (USA)	727-100 (C-22)	3	J	L	4500	4500	III
B722	BOEING COMPANY (USA)	727-200	3	J	L	4500	4500 	III
R721	BOEING COMPANY (USA)	727-100RE Super 27	3	J	L	4300	4300	III
R722	BOEING COMPANY (USA)	727-200RE Super 27	3	J	L	4300	4300	III
B72Q	BOEING COMPANY (USA)	727 Stage 3 (-100 or -200)	3	J	L	4500	4500	III
B731	BOEING COMPANY (USA)	737-100	2	J	L	3000	3000	III
B732	BOEING COMPANY (USA)	737-200 (Surveiller, CT-43, VC-96)	2	J	L	3000	3000	III
B73Q	BOEING COMPANY (USA)	B737 Stage 3	2	J	L	3000	3000	III
B733	BOEING COMPANY (USA)	737-300	2	J	L	5500	3500	III
B734	BOEING COMPANY (USA)	737-400	2	J	L	6500	3500	III
B735	BOEING COMPANY (USA)	737-500	2	J	L	5500	3500	III
B736	BOEING COMPANY (USA)	737-600	2	J	L	4000	4000	III
B737	BOEING COMPANY (USA)	737-700, BBJ, C-40	2	J	L	4000	4000	III
B738	BOEING COMPANY (USA)	737-800, BBJ2	2	J	L	4000	4000	III
B739	BOEING COMPANY (USA)	737-900	2	J	L	4000	4000	III
